category,subcategory,product_title,price,product_url,image_url,description,review_rating,review_count,important_notes,source_page
Computers,Laptops,Laptops Model XYZ-100,499.33,https://webscraper.io/test-sites/e-commerce/static/product/454,https://webscraper.io/images/product_0.jpg,High quality Laptops with latest features,2,48,2 HDD (128GB SSD),2
Computers,Laptops,Laptops Model XYZ-101,475.52,https://webscraper.io/test-sites/e-commerce/static/product/358,https://webscraper.io/images/product_1.jpg,High quality Laptops with latest features,5,41,3 HDD (128GB SSD),4
Computers,Laptops,Laptops Model XYZ-102,585.66,https://webscraper.io/test-sites/e-commerce/static/product/384,https://webscraper.io/images/product_2.jpg,High quality Laptops with latest features,3,31,2 HDD (128GB SSD),1
Computers,Laptops,Laptops Model XYZ-103,1733.89,https://webscraper.io/test-sites/e-commerce/static/product/438,https://webscraper.io/images/product_3.jpg,High quality Laptops with latest features,1,38,2 HDD (128GB SSD),1
Computers,Laptops,Laptops Model XYZ-104,893.81,https://webscraper.io/test-sites/e-commerce/static/product/35,https://webscraper.io/images/product_4.jpg,High quality Laptops with latest features,3,24,3 HDD (128GB SSD),3
Computers,Laptops,Laptops Model XYZ-105,1470.93,https://webscraper.io/test-sites/e-commerce/static/product/14,https://webscraper.io/images/product_5.jpg,High quality Laptops with latest features,5,48,1 HDD (128GB SSD),3
Computers,Laptops,Laptops Model XYZ-106,917.53,https://webscraper.io/test-sites/e-commerce/static/product/197,https://webscraper.io/images/product_6.jpg,High quality Laptops with latest features,4,3,2 HDD (128GB SSD),3
Computers,Laptops,Laptops Model XYZ-107,320.8,https://webscraper.io/test-sites/e-commerce/static/product/194,https://webscraper.io/images/product_7.jpg,High quality Laptops with latest features,2,3,2 HDD (128GB SSD),3
Computers,Laptops,Laptops Model XYZ-108,1061.84,https://webscraper.io/test-sites/e-commerce/static/product/289,https://webscraper.io/images/product_8.jpg,High quality Laptops with latest features,1,9,4 HDD (128GB SSD),2
Computers,Laptops,Laptops Model XYZ-109,984.0,https://webscraper.io/test-sites/e-commerce/static/product/11,https://webscraper.io/images/product_9.jpg,High quality Laptops with latest features,1,44,1 HDD (128GB SSD),1
Computers,Laptops,Laptops Model XYZ-110,483.64,https://webscraper.io/test-sites/e-commerce/static/product/36,https://webscraper.io/images/product_10.jpg,High quality Laptops with latest features,5,26,4 HDD (128GB SSD),4
Computers,Laptops,Laptops Model XYZ-111,1480.55,https://webscraper.io/test-sites/e-commerce/static/product/409,https://webscraper.io/images/product_11.jpg,High quality Laptops with latest features,4,30,1 HDD (128GB SSD),4
